cell_id,cell_id2,Description,Individual,Experiment,embryo,Lineage,targeting_status,SubmissionBatch,ProcessingBatch,CollectionBatch,NANOGReadCount,OriginalFile
rawNANOGBE_BOW7461A100,BOW7461A100,20250121_NANOG_ABE8e_Embryo3_Cell126,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,1214,BOW7461A100
rawNANOGBE_BOW7461A101,BOW7461A101,20250121_NANOG_ABE8e_Embryo3_Cell127,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,5316,BOW7461A101
rawNANOGBE_BOW7461A102,BOW7461A102,20250121_NANOG_ABE8e_Embryo3_Cell128,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,2514,BOW7461A102
rawNANOGBE_BOW7461A103,BOW7461A103,20250121_NANOG_ABE8e_Embryo3_Cell129,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,33,BOW7461A103
rawNANOGBE_BOW7461A104,BOW7461A104,20250121_NANOG_ABE8e_Embryo3_Cell130,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,1462,BOW7461A104
rawNANOGBE_BOW7461A105,BOW7461A105,20250121_NANOG_ABE8e_Embryo3_Cell131,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,1251,BOW7461A105
rawNANOGBE_BOW7461A106,BOW7461A106,20250121_NANOG_ABE8e_Embryo3_Cell132,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,1560,BOW7461A106
rawNANOGBE_BOW7461A107,BOW7461A107,20250121_NANOG_ABE8e_Embryo3_Cell133,3,BOWR1,3,Epiblast,NANOG mosaic,20250121,20250117B,20250114,5582,BOW7461A107
rawNANOGBE_BOW7461A108,BOW7461A108,20250121_NANOG_ABE8e_Embryo3_Cell134,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,1492,BOW7461A108
rawNANOGBE_BOW7461A109,BOW7461A109,20250121_NANOG_ABE8e_Embryo3_Cell135,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,2642,BOW7461A109
rawNANOGBE_BOW7461A10,BOW7461A10,20241216_NANOG_ABE8e_Embryo1_Cell10,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241115,20241022,0,BOW7461A10
rawNANOGBE_BOW7461A110,BOW7461A110,20250121_NANOG_ABE8e_Embryo3_Cell136,3,BOWR1,3,Trophectoderm,NANOG mosaic,20250121,20250117B,20250114,42,BOW7461A110
rawNANOGBE_BOW7461A111,BOW7461A111,20250121_NANOG_ABE8e_Embryo3_Cell137,3,BOWR1,3,Trophectoderm,NANOG mosaic,20250121,20250117B,20250114,328,BOW7461A111
rawNANOGBE_BOW7461A112,BOW7461A112,20250121_NANOG_ABE8e_Embryo3_Cell138,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,2327,BOW7461A112
rawNANOGBE_BOW7461A113,BOW7461A113,20250121_NANOG_ABE8e_Embryo2_Cell65,2,BOWR1,2,Trophectoderm,NANOG mosaic,20250121,20250117B,20241209,21,BOW7461A113
rawNANOGBE_BOW7461A114,BOW7461A114,20250121_NANOG_ABE8e_Embryo2_Cell66,2,BOWR1,2,Trophectoderm,NANOG mosaic,20250121,20250117B,20241209,0,BOW7461A114
rawNANOGBE_BOW7461A115,BOW7461A115,20250121_NANOG_ABE8e_Embryo2_Cell67,2,BOWR1,2,Primitive endoderm,NANOG mosaic,20250121,20250117B,20241209,1,BOW7461A115
rawNANOGBE_BOW7461A116,BOW7461A116,20250121_NANOG_ABE8e_Embryo2_Cell68,2,BOWR1,2,Trophectoderm,NANOG mosaic,20250121,20250117B,20241209,2,BOW7461A116
rawNANOGBE_BOW7461A117,BOW7461A117,20250121_NANOG_ABE8e_Embryo2_Cell69,2,BOWR1,2,Trophectoderm,NANOG mosaic,20250121,20250117B,20241209,107,BOW7461A117
rawNANOGBE_BOW7461A119,BOW7461A119,20250121_NANOG_ABE8e_Embryo2_Cell71,2,BOWR1,2,Trophectoderm,NANOG mosaic,20250121,20250117B,20241209,0,BOW7461A119
rawNANOGBE_BOW7461A11,BOW7461A11,20241216_NANOG_ABE8e_Embryo1_Cell11,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241115,20241022,0,BOW7461A11
rawNANOGBE_BOW7461A120,BOW7461A120,20250121_NANOG_ABE8e_Embryo2_Cell72,2,BOWR1,2,Trophectoderm,NANOG mosaic,20250121,20250117B,20241209,3,BOW7461A120
rawNANOGBE_BOW7461A122,BOW7461A122,20250121_NANOG_ABE8e_Embryo2_Cell74,2,BOWR1,2,Trophectoderm,NANOG mosaic,20250121,20250117B,20241209,0,BOW7461A122
rawNANOGBE_BOW7461A123,BOW7461A123,20250121_NANOG_ABE8e_Embryo2_Cell75,2,BOWR1,2,Trophectoderm,NANOG mosaic,20250121,20250117B,20241209,0,BOW7461A123
rawNANOGBE_BOW7461A124,BOW7461A124,20250121_NANOG_ABE8e_Embryo2_Cell76,2,BOWR1,2,Trophectoderm,NANOG mosaic,20250121,20250117B,20241209,0,BOW7461A124
rawNANOGBE_BOW7461A125,BOW7461A125,20250121_NANOG_ABE8e_Embryo2_Cell77,2,BOWR1,2,Trophectoderm,NANOG mosaic,20250121,20250117B,20241209,0,BOW7461A125
rawNANOGBE_BOW7461A126,BOW7461A126,20250121_NANOG_ABE8e_Embryo3_Cell139,3,BOWR1,3,ICM,NANOG mosaic,20250121,20250117B,20250114,19,BOW7461A126
rawNANOGBE_BOW7461A12,BOW7461A12,20241216_NANOG_ABE8e_Embryo1_Cell12,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241115,20241022,0,BOW7461A12
rawNANOGBE_BOW7461A13,BOW7461A13,20241216_NANOG_ABE8e_Embryo1_Cell13,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241115,20241022,0,BOW7461A13
rawNANOGBE_BOW7461A14,BOW7461A14,20241216_NANOG_ABE8e_Embryo1_Cell14,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241115,20241022,0,BOW7461A14
rawNANOGBE_BOW7461A15,BOW7461A15,20241216_NANOG_ABE8e_Embryo1_Cell15,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241115,20241022,1,BOW7461A15
rawNANOGBE_BOW7461A16,BOW7461A16,20241216_NANOG_ABE8e_Embryo1_Cell16,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241115,20241022,0,BOW7461A16
rawNANOGBE_BOW7461A17,BOW7461A17,20241216_NANOG_ABE8e_Embryo1_Cell17,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,1,BOW7461A17
rawNANOGBE_BOW7461A18,BOW7461A18,20241216_NANOG_ABE8e_Embryo1_Cell18,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A18
rawNANOGBE_BOW7461A19,BOW7461A19,20241216_NANOG_ABE8e_Embryo1_Cell19,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,1,BOW7461A19
rawNANOGBE_BOW7461A1,BOW7461A1,20241216_NANOG_ABE8e_Embryo1_Cell1,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241115,20241022,2,BOW7461A1
rawNANOGBE_BOW7461A20,BOW7461A20,20241216_NANOG_ABE8e_Embryo1_Cell20,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,107,BOW7461A20
rawNANOGBE_BOW7461A21,BOW7461A21,20241216_NANOG_ABE8e_Embryo1_Cell21,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A21
rawNANOGBE_BOW7461A22,BOW7461A22,20241216_NANOG_ABE8e_Embryo1_Cell22,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A22
rawNANOGBE_BOW7461A23,BOW7461A23,20241216_NANOG_ABE8e_Embryo1_Cell23,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A23
rawNANOGBE_BOW7461A24,BOW7461A24,20241216_NANOG_ABE8e_Embryo1_Cell24,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A24
rawNANOGBE_BOW7461A25,BOW7461A25,20241216_NANOG_ABE8e_Embryo1_Cell25,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A25
rawNANOGBE_BOW7461A26,BOW7461A26,20241216_NANOG_ABE8e_Embryo1_Cell26,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A26
rawNANOGBE_BOW7461A27,BOW7461A27,20241216_NANOG_ABE8e_Embryo1_Cell27,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A27
rawNANOGBE_BOW7461A28,BOW7461A28,20241216_NANOG_ABE8e_Embryo1_Cell28,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,2,BOW7461A28
rawNANOGBE_BOW7461A29,BOW7461A29,20241216_NANOG_ABE8e_Embryo1_Cell29,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A29
rawNANOGBE_BOW7461A2,BOW7461A2,20241216_NANOG_ABE8e_Embryo1_Cell2,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241115,20241022,0,BOW7461A2
rawNANOGBE_BOW7461A30,BOW7461A30,20241216_NANOG_ABE8e_Embryo1_Cell30,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,1,BOW7461A30
rawNANOGBE_BOW7461A31,BOW7461A31,20241216_NANOG_ABE8e_Embryo1_Cell31,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,1,BOW7461A31
rawNANOGBE_BOW7461A32,BOW7461A32,20241216_NANOG_ABE8e_Embryo1_Cell32,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,1,BOW7461A32
rawNANOGBE_BOW7461A33,BOW7461A33,20241216_NANOG_ABE8e_Embryo1_Cell33,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,2,BOW7461A33
rawNANOGBE_BOW7461A34,BOW7461A34,20241216_NANOG_ABE8e_Embryo1_Cell34,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,4,BOW7461A34
rawNANOGBE_BOW7461A35,BOW7461A35,20241216_NANOG_ABE8e_Embryo1_Cell35,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,2,BOW7461A35
rawNANOGBE_BOW7461A36,BOW7461A36,20241216_NANOG_ABE8e_Embryo1_Cell36,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A36
rawNANOGBE_BOW7461A37,BOW7461A37,20241216_NANOG_ABE8e_Embryo1_Cell37,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A37
rawNANOGBE_BOW7461A38,BOW7461A38,20241216_NANOG_ABE8e_Embryo1_Cell38,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,6,BOW7461A38
rawNANOGBE_BOW7461A39,BOW7461A39,20241216_NANOG_ABE8e_Embryo1_Cell39,1,BOWR1,1,Trophectoderm,NANOG mosaic,20241216,20241204,20241022,0,BOW7461A39
rawNANOGBE_BOW7461A41,BOW7461A41,20241216_NANOG_ABE8e_Embryo2_Cell41,2,BOWR1,2,Trophectoderm,NANOG mosaic,20241216,20241213,20241209,0,BOW7461A41
rawNANOGBE_BOW7461A42,BOW7461A42,20241216_NANOG_ABE8e_Embryo2_Cell42,2,BOWR1,2,Trophectoderm,NANOG mosaic,20241216,20241213,20241209,2,BOW7461A42
rawNANOGBE_BOW7461A43,BOW7461A43,20241216_NANOG_ABE8e_Embryo2_Cell43,2,BOWR1,2,Trophectoderm,NANOG mosaic,20241216,20241213,20241209,66,BOW7461A43
rawNANOGBE_BOW7461A44,BOW7461A44,20241216_NANOG_ABE8e_Embryo2_Cell44,2,BOWR1,2,Primitive endoderm,NANOG mosaic,20241216,20241213,20241209,749,BOW7461A44
