Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Developmental_Stage	embryo_number	Experiment	GEO_Accession (exp)	Instrument	LibraryLayout	LibrarySelection	LibrarySource	lineage	Organism	Platform	ReleaseDate	Sample Name	source_name	SRA Study	create_date	version
SRR2240578	RNA-Seq	100	400000000	PRJNA277181	SAMN04028907	262008745	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 4	SRX1182670	GSM1868810	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868810	Human Embryo	SRP055810	2015-09-04T00:04:00Z	1
SRR2240579	RNA-Seq	100	400000000	PRJNA277181	SAMN04028907	265525412	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 4	SRX1182670	GSM1868810	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868810	Human Embryo	SRP055810	2015-09-04T00:04:00Z	1
SRR2240580	RNA-Seq	100	400000000	PRJNA277181	SAMN04028907	266288388	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 4	SRX1182670	GSM1868810	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868810	Human Embryo	SRP055810	2015-09-04T00:04:00Z	1
SRR2240581	RNA-Seq	100	400000000	PRJNA277181	SAMN04028907	265641838	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 4	SRX1182670	GSM1868810	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868810	Human Embryo	SRP055810	2015-09-03T23:58:00Z	1
SRR2240582	RNA-Seq	100	400000000	PRJNA277181	SAMN04028907	262181024	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 4	SRX1182670	GSM1868810	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868810	Human Embryo	SRP055810	2015-09-03T23:58:00Z	1
SRR2240583	RNA-Seq	100	400000000	PRJNA277181	SAMN04028907	265052133	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 4	SRX1182670	GSM1868810	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868810	Human Embryo	SRP055810	2015-09-03T23:58:00Z	1
SRR2240584	RNA-Seq	100	400000000	PRJNA277181	SAMN04028908	172320064	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 5	SRX1182671	GSM1868811	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868811	Human Embryo	SRP055810	2015-09-03T23:58:00Z	1
SRR2240585	RNA-Seq	100	400000000	PRJNA277181	SAMN04028908	172861681	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 5	SRX1182671	GSM1868811	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868811	Human Embryo	SRP055810	2015-09-03T23:58:00Z	1
SRR2240586	RNA-Seq	100	400000000	PRJNA277181	SAMN04028908	174898737	GEO	public	"fastq,run.zq"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 5	SRX1182671	GSM1868811	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868811	Human Embryo	SRP055810		
SRR2240587	RNA-Seq	100	400000000	PRJNA277181	SAMN04028908	176129953	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 5	SRX1182671	GSM1868811	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868811	Human Embryo	SRP055810	2015-09-03T23:56:00Z	1
SRR2240588	RNA-Seq	100	400000000	PRJNA277181	SAMN04028908	174988894	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 5	SRX1182671	GSM1868811	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868811	Human Embryo	SRP055810	2015-09-03T23:56:00Z	1
SRR2240589	RNA-Seq	100	400000000	PRJNA277181	SAMN04028909	172339444	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 5	SRX1182672	GSM1868812	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868812	Human Embryo	SRP055810	2015-09-03T23:44:00Z	1
SRR2240590	RNA-Seq	100	400000000	PRJNA277181	SAMN04028909	172509579	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 5	SRX1182672	GSM1868812	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868812	Human Embryo	SRP055810	2015-09-03T23:44:00Z	1
SRR2240591	RNA-Seq	100	400000000	PRJNA277181	SAMN04028909	174287607	GEO	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	Blastocyst	Embryo 5	SRX1182672	GSM1868812	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Primitive Endoderm	Homo sapiens	ILLUMINA	2015-09-06T00:00:00Z	GSM1868812	Human Embryo	SRP055810	2015-09-03T23:44:00Z	1
