Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	clinic.grade	common_name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	embryo	embryoday	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	Experiment	external_id	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	Sample_name	scientific_name	SRA Study	Stage	Submitter_Id	blastodissectionside
ERR3013500	RNA-Seq	50	117268750	PRJEB30442	SAMEA5187848	52856795	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015952	SAMEA5187848	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187848	B13C1	Homo sapiens	ERP112896	B4	B13C1	
ERR3013501	RNA-Seq	50	108663600	PRJEB30442	SAMEA5187849	49575973	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015953	SAMEA5187849	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187849	B13C2	Homo sapiens	ERP112896	B4	B13C2	
ERR3013502	RNA-Seq	50	120042700	PRJEB30442	SAMEA5187850	54312080	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015954	SAMEA5187850	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187850	B13C3	Homo sapiens	ERP112896	B4	B13C3	
ERR3013503	RNA-Seq	50	116197600	PRJEB30442	SAMEA5187851	52027367	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015955	SAMEA5187851	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187851	B13C4	Homo sapiens	ERP112896	B4	B13C4	
ERR3013504	RNA-Seq	50	45765200	PRJEB30442	SAMEA5187852	20434787	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015956	SAMEA5187852	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:13:00Z	1	SAMEA5187852	B13C5	Homo sapiens	ERP112896	B4	B13C5	
ERR3013505	RNA-Seq	50	138139300	PRJEB30442	SAMEA5187853	61566903	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015957	SAMEA5187853	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187853	B13C6	Homo sapiens	ERP112896	B4	B13C6	
ERR3013506	RNA-Seq	50	69219000	PRJEB30442	SAMEA5187854	30980560	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015958	SAMEA5187854	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187854	B13C7	Homo sapiens	ERP112896	B4	B13C7	
ERR3013507	RNA-Seq	50	79493350	PRJEB30442	SAMEA5187855	35435073	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015959	SAMEA5187855	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187855	B13C8	Homo sapiens	ERP112896	B4	B13C8	
ERR3013508	RNA-Seq	50	132071200	PRJEB30442	SAMEA5187856	59127928	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015960	SAMEA5187856	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187856	B13C9	Homo sapiens	ERP112896	B4	B13C9	
ERR3013509	RNA-Seq	50	69972700	PRJEB30442	SAMEA5187857	31309780	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015961	SAMEA5187857	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187857	B13C10	Homo sapiens	ERP112896	B4	B13C10	
ERR3013510	RNA-Seq	50	37303400	PRJEB30442	SAMEA5187858	16753370	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015962	SAMEA5187858	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:13:00Z	1	SAMEA5187858	B13C11	Homo sapiens	ERP112896	B4	B13C11	
ERR3013511	RNA-Seq	50	12025550	PRJEB30442	SAMEA5187859	5370881	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015963	SAMEA5187859	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:13:00Z	1	SAMEA5187859	B13C12	Homo sapiens	ERP112896	B4	B13C12	
ERR3013512	RNA-Seq	50	22687700	PRJEB30442	SAMEA5187860	10105550	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B13	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015964	SAMEA5187860	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:13:00Z	1	SAMEA5187860	B13C13	Homo sapiens	ERP112896	B4	B13C13	
ERR3013513	RNA-Seq	50	36975700	PRJEB30442	SAMEA5187861	16933855	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B16	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015965	SAMEA5187861	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:13:00Z	1	SAMEA5187861	B16C1	Homo sapiens	ERP112896	B4	B16C1	emb.
ERR3013514	RNA-Seq	50	1833750	PRJEB30442	SAMEA5187862	821602	INSERM UMR 1064	B4AA	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B16	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015966	SAMEA5187862	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:13:00Z	1	SAMEA5187862	B16C2	Homo sapiens	ERP112896	B4	B16C2	emb.
ERR3013515	RNA-Seq	50	4275600	PRJEB30442	SAMEA5187863	1928122	INSERM UMR 1064	B4CB	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B18	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015967	SAMEA5187863	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:13:00Z	1	SAMEA5187863	B18C1	Homo sapiens	ERP112896	B4	B18C1	emb.
ERR3013516	RNA-Seq	50	14225500	PRJEB30442	SAMEA5187864	6543491	INSERM UMR 1064	B4CB	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B18	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015968	SAMEA5187864	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:13:00Z	1	SAMEA5187864	B18C2	Homo sapiens	ERP112896	B4	B18C2	emb.
ERR3013517	RNA-Seq	50	56394150	PRJEB30442	SAMEA5187865	25606403	INSERM UMR 1064	B4CB	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B18	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015969	SAMEA5187865	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187865	B18C3	Homo sapiens	ERP112896	B4	B18C3	emb.
ERR3013518	RNA-Seq	50	119057450	PRJEB30442	SAMEA5187866	54321601	INSERM UMR 1064	B4CB	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B18	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015970	SAMEA5187866	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187866	B18C4	Homo sapiens	ERP112896	B4	B18C4	emb.
ERR3013519	RNA-Seq	50	91805400	PRJEB30442	SAMEA5187867	42085076	INSERM UMR 1064	B4CB	human	public	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	B18	6	05/01/2021	2021-01-05T04:23:34Z	18/12/2018	2018-12-18T19:20:50Z	ERX3015971	SAMEA5187867	INSERM UMR 1064	2021-01-05T04:23:34Z	2018-12-18T19:20:50Z	public	NextSeq 500	HPD_scRNAseq_NANTES01	PAIRED	Oligo-dT	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2021-01-06T00:00:00Z	2021-01-06T11:14:00Z	1	SAMEA5187867	B18C5	Homo sapiens	ERP112896	B4	B18C5	emb.
